group,method,mape,wape,n
全体,baseline,0.1957198588022429,0.18573246761212536,7830
全体,lightgbm,0.3234565027113895,0.15591648560223398,7830
デスクトップPC,baseline,0.19925003430307975,0.1854079216446023,2610
デスクトップPC,lightgbm,0.40666487945696583,0.1576143902282539,2610
ノートPC,baseline,0.1912397969000584,0.18600062210816906,2610
ノートPC,lightgbm,0.1989719751440862,0.15675322240032327,2610
モニター,baseline,0.19673602052908526,0.18559610495928303,2610
モニター,lightgbm,0.3662948031348531,0.1533207752295002,2610
status=売れ筋,baseline,0.18522937638799977,0.18223932314225605,4437
status=売れ筋,lightgbm,0.13985221922848257,0.13477711251847282,4437
status=新製品,baseline,0.20021344826308968,0.19168410791593796,2088
status=新製品,lightgbm,0.16214624158204297,0.16042277045004025,2088
status=終売間近,baseline,0.2243664806883198,0.2101653892698669,1305
status=終売間近,lightgbm,1.1997506239806577,0.7471310780297933,1305
